,type,Hospital Name,CMS Certification Number,Beds,ADDRESS,CITY,STATE,ZIP,Telephone,rural ,mua,X,Y,size
446,Cancer Treatment Center,LSU HEALTH-S/FEIST-WEILLER CANCER CENTER,,,2015 FAIRFIELD SUITE 2B,SHREVEPORT,LA,71104,3188134013,No,Yes,-93.7511216541,32.4921504373,5
447,Chemo and Radiology,Natchitoches Regional Medical Center,190007.0,208,501 Keyser Avenue,Natchitoches,LA,71457,(318) 214-4200,YES,Yes,-93.0776023739,31.75342389,5
448,Chemotherapy Only,North Oaks Medical Center,190015.0,247,15790 Paul Vega MD Drive,Hammond,LA,70403,(985) 345-2700,YES,Yes,-90.4608805806,30.4659807032,5
449,Chemotherapy Only,Ochsner Acadia General Hospital,190044.0,54,1305 Crowley-Rayne Highway,Crowley,LA,70526,(337) 783-3222,YES,Yes,-92.3632673325,30.2257416538,5
450,Cancer Treatment Center,OCHSNER CLINIC FOUNDATION INFECTIOUS DISEASE,,,BENSON CANCER CENTER RM 1N103,NEW ORLEANS,LA,70121,5048425223,No,Yes,-90.158747,29.963198,5
451,Chemo and Radiology,Ochsner Lafayette General Medical Center,190002.0,432,1214 Coolidge Street,Lafayette,LA,70503,(337) 289-7991,No,Yes,-92.0189073179,30.2020821395,5
452,Chemotherapy Only,Ochsner LSU Health - Monroe Medical Center,190011.0,110,4864 Jackson Street,Monroe,LA,71202,(318) 330-7000,No,Yes,-92.1054907013,32.4510620965,5
453,Chemotherapy Only,Ochsner LSU Health - St. Mary Medical Center,190317.0,118,915 Margaret Place,Shreveport,LA,71101,(318) 626-4300,No,Yes,-93.7495682359,32.4959905224,5
454,Chemo and Radiology,Ochsner LSU Health Shreveport - Academic Medical Center,190098.0,273,1541 Kings Highway,Shreveport,LA,71104,(318) 626-0000,No,Yes,-93.7615726439,32.4817331931,5
455,Chemo and Radiology,Ochsner Medical Center - Baton Rouge,190202.0,171,17000 Medical Center Drive,Baton Rouge,LA,70816,(225) 752-2470,No,No,-91.0008717845,30.4426629611,5
456,Chemotherapy Only,Ochsner Medical Center - Kenner,190274.0,115,180 West Esplanade Avenue,Kenner,LA,70065,(504) 468-8600,No,No,-90.2714021272,30.0229936838,5
457,Chemo and Radiology,Ochsner Medical Center-New Orleans,190036.0,1053,1514 Jefferson Highway,New Orleans,LA,70121,(504) 842-3000,No,No,-90.1449342119,29.9626995949,5
458,Cancer Treatment Center,OCHSNER ST TAMMANY CANCER CENTER,,,900 OCHSNER BLVD,COVINGTON,LA,70433,9852492383,No,No,-90.1418305608,30.4507552695,5
459,Chemotherapy Only,Ochsner University Hospital and Clinics,190006.0,52,2390 West Congress,Lafayette,LA,70506,(337) 261-6000,No,No,-92.0458496046,30.2157071746,5
460,Cancer Treatment Center,OLHS FEIST-WEILLER CANCER CENTER,,,1405 KINGS HIGHWAY,SHREVEPORT,LA,71103,3186261224,No,Yes,-93.7591550377,32.4817620322,5
461,Chemo and Radiology,Opelousas General Main Campus,190017.0,197,539 East Prudhomme Street,Opelousas,LA,70570,(337) 948-3011,YES,Yes,-92.0755643733,30.5434552629,5
462,Chemotherapy Only,Our Lady of Lourdes Regional Medical Center,190102.0,379,4801 Ambassador Caffery Parkway,Lafayette,LA,70508,(337) 470-2000,No,No,-92.0380420294,30.148655763,5
463,Chemotherapy Only,Our Lady of the Lake Regional Medical Center,190064.0,744,5000 Hennessy Boulevard,Baton Rouge,LA,70808,(225) 765-6565,No,No,-91.1073195241,30.4026185863,5
464,Cancer Treatment Center,PONCHARTRAIN CANCER CENTER,,,15799 PROFESSIONAL PLAZA,HAMMOND,LA,70403,9858751202,YES,Yes,-90.4595598441,30.4745393388,5
465,Cancer Treatment Center,PONCHARTRAIN CANCER CENTER,,,120 LAKEVIEW CIRCLE,COVINGTON,LA,70433,9858751202,No,No,-90.0805948908,30.4091024913,5
466,Cancer Treatment Center,QUEST DIAGNOSTICS MARY BIRD PERKINS CANCER CENTER,,,"1203 S TYLER STREET, SUITE #110",COVINGTON,LA,70433,3187731594,No,No,-90.1143095876,30.468604197,5
467,Cancer Treatment Center,RAPIDES CANCER CENTER,,,"605 MEDICAL CENTER DRIVE, SUITE A",ALEXANDRIA,LA,71301,3187697200,No,Yes,-92.4511023017,31.3130158146,5
468,Radiology Only,Rapides Regional Medical Center,190026.0,375,211 Fourth Street,Alexandria,LA,71301,(318) 769-3000,No,Yes,-92.4497314414,31.3145056559,5
469,Chemotherapy Only,Saint Charles Parish Hospital,190079.0,57,1057 Paul Maillard Road,Luling,LA,70070,(985) 785-6242,No,Yes,-90.3716762598,29.9245667969,5
470,Chemotherapy Only,Saint Francis Medical Center,190125.0,352,309 Jackson Street,Monroe,LA,71201,(318) 966-4000,No,Yes,-92.1147412211,32.4996970419,5
471,Chemotherapy Only,Saint Tammany Parish Hospital,190045.0,229,1202 South Tyler Street,Covington,LA,70433,(985) 898-4000,No,No,-90.1137700445,30.4690181792,5
472,Chemo and Radiology,Savoy Medical Center,190025.0,60,801 Poinciana Avenue,Mamou,LA,70554,(337) 468-5261,YES,Yes,-92.4180723226,30.6410616453,5
473,Chemotherapy Only,Slidell Memorial Hospital,190040.0,301,1001 Gause Boulevard,Slidell,LA,70458,(985) 280-2200,No,No,-89.7696724673,30.2846176085,5
474,Cancer Treatment Center,SLIDELL MEMORIAL HOSPITAL REGIONAL CANCER CENTER,,,1120 ROBERT BOULEVARD,SLIDELL,LA,70458,9852801507,No,No,-89.7710998216,30.2875917592,5
475,Chemotherapy Only,Terrebonne General Health System,190008.0,171,8166 Main Street,Houma,LA,70360,(985) 873-4141,No,Yes,-90.7141042457,29.5985117273,5
476,Chemo and Radiology,Thibodaux Regional Health System,190004.0,184,602 North Acadia Road,Thibodaux,LA,70301,(985) 447-5500,No,No,-90.8066569692,29.780437122,5
477,Chemo and Radiology,Touro LCMC Health,190046.0,339,1401 Foucher Street,New Orleans,LA,70115,(504) 584-7833,No,Yes,-90.0928852754,29.9253901513,5
478,Chemo and Radiology,University Medical Center New Orleans,190005.0,370,2000 Canal Street,New Orleans,LA,70112,(504) 702-3000,No,Yes,-90.0810776884,29.9611735856,5
479,Chemotherapy Only,West Calcasieu Cameron Hospital,190013.0,107,701 Cypress Street,Sulphur,LA,70663,(337) 527-7034,No,No,-93.3685061305,30.2310288326,5
480,Cancer Treatment Center,WEST JEFFERSON CANCER CENTER,,,4513 WESTBANK EXPRESSWAY,MARRERO,LA,70072,5043496630,No,No,-90.0953011075,29.8947972944,5
481,Chemo and Radiology,West Jefferson Medical Center,190039.0,217,1101 Medical Center Boulevard,Marrero,LA,70072,(504) 508-5433,No,No,-90.0956786285,29.8896888177,5
482,Cancer Treatment Center,WILLIS KNIGHTON UROLOGIC CANCER CARE,,,"8001 YOUREE DRIVE, SUITE 350",SHREVEPORT,LA,71115,3182123369,No,No,-93.7111766048,32.43090056,5
483,Chemo and Radiology,Willis-Knighton North,190111.0,763,2600 Greenwood Road,Shreveport,LA,71103,(318) 212-4000,No,Yes,-93.7791126844,32.483842253,5
484,Cancer Treatment Center,WK ARK-LA-TEX UROLOGY AND PROSTATE,,,2449 HOSPITAL DRIVE SUITE 340,BOSSIER CITY,LA,71111,3182127850,No,No,-93.7139118713,32.5584068254,5
485,Chemo and Radiology,Woman's Hospital,190128.0,228,100 Woman's Way,Baton Rouge,LA,70817,(225) 927-1300,No,No,-91.0378807369,30.3849907733,5
